Source,Target,Source_repo,Target_repo
844500,844490,project-config,security-analysis
844501,844463,project-config,governance
844490,844501,security-analysis,project-config
843534,843535,project-config,governance
840677,840674,tripleo-ansible,tripleo-heat-templates
840321,840322,tripleo-ansible,tripleo-heat-templates
839715,836664,kolla-ansible,kolla
839715,836664,kolla-ansible,kolla
839715,836664,kolla-ansible,kolla
838906,836644,tripleo-ansible,tripleo-heat-templates
838907,838904,tripleo-ansible,tripleo-heat-templates
838508,838507,tripleo-ansible,tripleo-heat-templates
836708,836706,openstack-health,governance
836707,836706,project-config,governance
836701,836704,tempest-lib,governance
834692,832159,kolla,kolla-ansible
832163,832159,kolla,kolla-ansible
830504,825357,ansible-collection-kolla,kolla-ansible
829258,658473,openstack-ansible,openstack-ansible
826675,812111,nova,nova
826675,822053,nova,nova
826601,808961,nova,neutron
825932,816569,cinder,tempest
825931,816569,cinder,tempest
825054,823860,bifrost,kolla-ansible
825053,823860,bifrost,kolla-ansible
824969,824681,kolla-ansible,kolla-ansible
824968,824681,kolla-ansible,kolla-ansible
824967,824681,kolla-ansible,kolla-ansible
824966,824681,kolla-ansible,kolla-ansible
824903,824681,kolla-ansible,kolla-ansible
823559,823555,bifrost,kolla-ansible
823557,823555,kolla,kolla-ansible
823268,823266,kayobe-config-dev,kayobe
823093,823071,kolla-ansible,kolla
822811,822743,kolla-ansible,bifrost
821388,777061,requirements,openstack-ansible
820379,820244,puppet-tripleo,releases
820196,658473,openstack-ansible,openstack-ansible
820126,818536,neutron-vpnaas,neutron-lib
820125,818536,neutron,neutron-lib
819326,819331,project-config,governance
819055,818614,python-openstackclient,requirements
818548,818391,oslo.service,neutron
818514,812111,os-traits,nova
816576,816569,requirements,tempest
816574,816569,nova,tempest
816573,816569,cinder,tempest
816572,816569,glance,tempest
816571,816569,keystone,tempest
815869,815868,governance,governance-sigs
815294,815265,neutron-tempest-plugin,neutron-dynamic-routing
813008,813039,kolla,kolla-ansible
811034,811014,kolla-ansible,kolla
806187,805452,devstack,tempest
806186,805452,devstack,tempest
800853,800143,project-config,neutron-lbaas
800853,800144,project-config,neutron-lbaas-dashboard
800840,800835,project-config,searchlight
800698,800532,pymod2pkg,project-config
800693,800532,devstack-gate,project-config
800692,800532,pbr,project-config
800691,800532,openstack-zuul-jobs,project-config
799084,798955,requirements,openstack-ansible
796980,796963,project-config,openstack-specs
796978,796967,project-config,workload-ref-archs
796976,796970,project-config,governance-uc
796975,796965,project-config,project-navigator-data
796974,796966,project-config,enterprise-wg
796973,796967,project-config,workload-ref-archs
796972,796968,project-config,ops-tags-team
796971,796969,project-config,uc-recognition
793432,793431,project-config,openstack-zuul-jobs
792966,792952,puppet-openstack-integration,puppet-openstack_extras
791745,791645,project-config,tripleo-operator-ansible
788821,787458,neutron-specs,nova-specs
787433,769974,openstack-ansible-os_gnocchi,openstack-ansible
783820,783828,hacking,tripleo-heat-templates
780786,766100,tripleo-quickstart-extras,puppet-ironic
780073,778957,devstack,ironic
778650,778665,tripleo-heat-templates,tripleo-ansible
778650,778655,tripleo-heat-templates,tripleo-ansible
778650,778654,tripleo-heat-templates,tripleo-ansible
778650,771657,tripleo-heat-templates,tripleo-ansible
778649,778665,tripleo-heat-templates,tripleo-ansible
778649,778655,tripleo-heat-templates,tripleo-ansible
778649,778654,tripleo-heat-templates,tripleo-ansible
778649,771657,tripleo-heat-templates,tripleo-ansible
778648,778665,tripleo-heat-templates,tripleo-ansible
778648,778655,tripleo-heat-templates,tripleo-ansible
778648,778654,tripleo-heat-templates,tripleo-ansible
778648,771657,tripleo-heat-templates,tripleo-ansible
778456,778665,tripleo-heat-templates,tripleo-ansible
778456,778655,tripleo-heat-templates,tripleo-ansible
778456,778654,tripleo-heat-templates,tripleo-ansible
778456,771657,tripleo-heat-templates,tripleo-ansible
777025,776998,requirements,python-swiftclient
775827,774730,charm-guide,charm-neutron-openvswitch
774378,774379,project-config,governance
773385,773383,project-config,governance
769966,769935,openstack-ansible-os_tempest,openstack-ansible-os_ironic
769385,770215,kolla,kolla-ansible
769201,766100,tripleo-quickstart-extras,puppet-ironic
768735,764058,project-config,tempest
767964,767032,os-service-types,karbor
767963,767032,rpm-packaging,karbor
767962,767032,service-types-authority,karbor
767961,767032,kayobe,karbor
767665,767666,project-config,governance
767639,767032,kolla-ansible,karbor
767636,767032,kolla,karbor
767436,767032,kayobe-config-dev,karbor
767435,767032,kayobe-config,karbor
767246,767032,pymod2pkg,karbor
767238,767034,horizon,karbor-dashboard
767062,767032,project-config,karbor
767062,767034,project-config,karbor-dashboard
767062,767033,project-config,python-karborclient
765799,765800,project-config,governance
765781,770215,kolla,kolla-ansible
764576,764526,pymod2pkg,searchlight
764575,764526,kayobe-config-dev,searchlight
764574,764526,kayobe-config,searchlight
764571,764526,openstackclient,searchlight
764569,764526,python-openstackclient,searchlight
764568,764526,kayobe,searchlight
764567,764528,horizon,searchlight-ui
764566,764526,kolla,searchlight
764565,764526,kolla-ansible,searchlight
764562,764522,horizon,qinling-dashboard
764561,764521,rpm-packaging,qinling
764560,764521,kolla-ansible,qinling
764559,764521,kolla,qinling
764557,764521,pymod2pkg,qinling
764556,764521,openstackclient,qinling
764556,764526,openstackclient,searchlight
764555,764521,kayobe-config-dev,qinling
764554,764521,kayobe-config,qinling
764548,764521,openstack-manuals,qinling
764543,764521,operations-guide,qinling
764542,764521,security-doc,qinling
764541,764521,kayobe,qinling
764540,764521,mistral-extra,qinling
764539,764527,openstack-manuals,searchlight-specs
764534,764526,project-config,searchlight
764534,764529,project-config,python-searchlightclient
764534,764528,project-config,searchlight-ui
764534,764527,project-config,searchlight-specs
764532,764521,project-config,qinling
764532,764525,project-config,python-qinlingclient
764532,764522,project-config,qinling-dashboard
764529,764530,python-searchlightclient,governance
764528,764530,searchlight-ui,governance
764527,764530,searchlight-specs,governance
764526,764530,searchlight,governance
764525,764523,python-qinlingclient,governance
764522,764523,qinling-dashboard,governance
764521,764523,qinling,governance
763048,755576,openstack-ansible,openstack-ansible-os_octavia
761806,754653,openstack-ansible,openstack-ansible-os_manila
760771,754653,openstack-ansible,openstack-ansible-os_manila
760195,759471,openstack-ansible,openstack-ansible-os_magnum
759932,759472,openstack-ansible-os_tempest,openstack-ansible-os_magnum
759426,759396,openstack-ansible,openstack-ansible-os_manila
759082,759084,openstack-ansible,openstack-ansible-os_barbican
757854,739646,openstack-ansible,openstack-ansible-os_manila
756313,756310,openstack-ansible-os_adjutant,openstack-ansible
755737,755576,openstack-ansible,openstack-ansible-os_octavia
755497,755586,openstack-ansible,openstack-ansible-galera_server
754347,754346,puppet-tripleo,releases
753404,753403,tripleo-quickstart-extras,tripleo-ci
752736,750475,requirements,python-swiftclient
749995,749986,project-config,project-config
749576,749534,kolla-ansible,kolla
749358,705030,grenade,ironic
749029,744343,masakari,masakari
748683,748677,project-config,governance
748304,748302,project-config,governance
748056,748059,oslo.utils,nova
747891,747872,openstack-ansible-haproxy_server,openstack-ansible
747234,746561,requirements,cinder
747185,747188,project-config,governance
746348,746302,openstack-ansible,openstack-ansible-os_octavia
745171,745189,pbr,project-config
744881,733443,openstack-ansible-tests,openstack-ansible-os_keystone
744453,733443,openstack-ansible,openstack-ansible-os_keystone
742613,737478,tripleo-common,kolla
741507,741497,devstack,glance
740668,569091,neutron-tempest-plugin,neutron-dynamic-routing
739333,739531,nova,requirements
739146,744673,openstack-ansible,openstack-ansible-os_masakari
738959,739164,liberasurecode,swift
738030,738038,project-config,networking-l2gw-tempest-plugin
738030,738035,project-config,networking-l2gw
737987,737989,project-config,networking-onos
737987,737988,project-config,solum-infra-guestagent
737987,737991,project-config,openstack-ux
737826,737408,openstack-zuul-jobs,cinder
736473,736449,requirements,python-muranoclient
736142,736140,project-config,governance
735966,734184,devstack,nova
731809,731837,openstack-ansible-rabbitmq_server,openstack-ansible-tests
731566,728902,governance,project-config
731534,721742,project-config,project-config
731462,731460,project-config,openstack-zuul-jobs
731313,728558,governance,releases
730431,730430,project-config,kolla-cli
730431,730432,project-config,project-config
730430,730432,kolla-cli,project-config
729329,729331,openstack-ansible-ceph_client,openstack-ansible
729070,727467,ironic-lib,ironic
729070,729463,ironic-lib,ironic-inspector
728903,728886,project-config,tricircle
728903,728886,project-config,tricircle
728902,728890,project-config,python-tricircleclient
728902,728890,project-config,python-tricircleclient
728886,731566,tricircle,governance
727796,728904,python-neutronclient,neutron
726757,724793,kolla-ansible,kolla
725962,724793,kolla-ansible,kolla
725902,725903,openstack-ansible-tests,openstack-ansible-galera_server
725847,725848,project-config,governance
724934,717350,neutron-tempest-plugin,neutron
724198,723762,tempest,keystone
723072,715174,project-config,networking-ovn
722498,722923,openstack-ansible-os_tempest,openstack-ansible-tests
721978,720160,project-config,project-config
721742,721733,project-config,congress
721742,721736,project-config,congress-dashboard
721742,721738,project-config,congress-specs
721742,721740,project-config,congress-tempest-plugin
721742,721741,project-config,python-congressclient
721722,721723,project-config,governance
721719,721720,project-config,i18n-specs
721605,721604,governance,election
721349,721348,project-config,governance
721044,708213,kolla,kolla-ansible
717832,717775,governance,project-config
717832,717775,governance,project-config
717775,717832,project-config,governance
717775,717832,project-config,governance
717715,717717,project-config,openstack-ansible-pip_install
717715,716389,project-config,openstack-ansible-repo_build
715409,71541,tripleo-heat-templates,ironic
713925,713930,project-config,openstack-manuals
713809,714030,project-config,governance
711910,712095,project-config,governance
711878,711902,project-config,governance
711834,711835,project-config,governance
711282,661856,requirements,python-openstackclient
710782,710252,neutron,neutron
710754,710756,stackviz,project-config
710653,710654,faafo,project-config
710652,710653,project-config,faafo
710431,708675,charm-neutron-api,neutron-fwaas
710377,714728,charm-ironic,openstack-zuul-jobs
709386,714728,charms.ceph,openstack-zuul-jobs
709385,714728,charms.openstack,openstack-zuul-jobs
708916,708918,project-config,releases
708801,707760,heat-tempest-plugin,heat
708517,708514,project-config,service-types-authority
708273,708213,kolla,kolla-ansible
707913,707911,ironic-python-agent-builder,ironic-python-agent
707665,707663,heat-tempest-plugin,heat
707665,707760,heat-tempest-plugin,heat
706523,706263,charm-deployment-guide,charm-guide
705694,705695,neutron-lib,neutron
705059,703586,tripleo-ci,ansible-role-collect-logs
704133,709211,project-config,governance
704020,704044,ansible-role-collect-logs,tripleo-ci
703691,703692,project-config,governance
703323,703326,project-config,governance
703081,703080,project-config,governance
702572,702573,project-config,openstack-zuul-jobs
702099,701743,heat-dashboard,horizon
702097,701743,trove-dashboard,horizon
702096,701743,sahara-dashboard,horizon
702086,701743,searchlight-ui,horizon
702084,701743,senlin-dashboard,horizon
702082,701743,qinling-dashboard,horizon
702081,701743,mistral-dashboard,horizon
702080,701743,heat-dashboard,horizon
702079,701743,adjutant-ui,horizon
702077,701743,congress-dashboard,horizon
702076,701743,magnum-ui,horizon
702074,701743,zaqar-ui,horizon
702071,702072,project-config,governance
701928,702173,charm-nova-compute,charm-neutron-openvswitch
701928,701929,charm-nova-compute,charm-neutron-openvswitch
701701,701557,puppet-openstack-integration,puppet-openstack_spec_helper
701700,701557,puppet-openstack-integration,puppet-openstack_spec_helper
701699,701557,puppet-openstack-integration,puppet-openstack_spec_helper
701689,701688,puppet-openstack-integration,puppet-openstack_spec_helper
701534,701557,puppet-openstack-integration,puppet-openstack_spec_helper
701530,701678,project-config,governance
701513,701514,project-config,governance
701513,701514,project-config,governance
700909,700914,project-config,governance
700876,709278,heat-tempest-plugin,auto-scaling-sig
698764,698754,watcher-tempest-plugin,tempest
698763,698754,ironic-tempest-plugin,tempest
698762,698754,blazar-tempest-plugin,tempest
698761,698754,murano-tempest-plugin,tempest
698760,698754,congress-tempest-plugin,tempest
698757,698754,barbican-tempest-plugin,tempest
697076,697095,project-config,governance
696464,696465,charms.openstack,charm-layer-openstack
696070,572767,neutron-lib,neutron
693945,693946,project-config,governance
693462,693463,project-config,governance
692639,692640,project-config,openstack-zuul-jobs
692094,692068,neutron-fwaas,neutron-lib
691277,657142,governance-sigs,governance
690966,690387,releases,python-openstackclient
690410,690401,openstack-chef,cookbook-openstack-image
689119,680438,governance-sigs,governance
688714,688699,project-config,governance
688556,654056,bifrost,openstacksdk
688554,654056,bifrost,openstacksdk
688209,688211,project-config,governance
687925,687926,project-config,governance
687911,687915,charm-interface-placement,charm-placement
686251,686253,project-config,governance
686177,687915,charms.openstack,charm-placement
686097,686343,neutron-lib,neutron
682808,682809,project-config,openstack-zuul-jobs
682608,682607,charm-neutron-openvswitch,charm-nova-compute
682222,682223,project-config,openstack-zuul-jobs
682215,682216,openstack-zuul-jobs,project-config
682214,682215,project-config,openstack-zuul-jobs
682213,682212,openstack-zuul-jobs,project-config
682211,682213,project-config,openstack-zuul-jobs
681722,681718,openstack-ansible,openstack-ansible-os_horizon
681343,687915,charm-nova-cloud-controller,charm-placement
681251,669223,openstack-zuul-jobs,tripleo-quickstart
679655,669170,grenade,placement
679652,679650,project-config,governance
679496,677830,openstack-ansible,openstack-ansible-os_murano
679238,679101,requirements,openstack-ansible
679238,679105,requirements,openstack-ansible-tests
679070,679071,adjutant,openstack-manuals
678597,678598,charm-layer-openstack-api,charms.openstack
678596,678597,charm-layer-openstack,charm-layer-openstack-api
678596,678598,charm-layer-openstack,charms.openstack
678351,678430,project-config,openstack-zuul-jobs
678156,678155,project-config,training-guides
678134,678135,service-types-authority,project-config
678133,678135,openstack-manuals,project-config
678132,678135,openstack-ansible-tests,project-config
677008,677009,project-config,openstack-zuul-jobs
676630,676631,project-config,openstack-zuul-jobs
676489,676482,project-config,openstack-manuals
676421,696737,project-config,governance
676268,642899,devstack,nova
676191,676193,project-config,governance
675778,651492,heat,devstack
675668,673561,puppet-tripleo,paunch
675666,673561,puppet-tripleo,paunch
675664,673561,puppet-tripleo,paunch
675617,675615,openstack-ansible-os_tempest,openstack-ansible-os_tempest
675360,673565,tripleo-heat-templates,paunch
675354,673565,puppet-tripleo,paunch
675265,673561,tripleo-heat-templates,paunch
674896,671043,manila-tempest-plugin,manila
674648,673561,puppet-tripleo,paunch
671776,670203,requirements,neutron
671345,670203,neutron-lib,neutron
671311,671255,project-config,releases
671268,671271,project-config,governance
670558,669609,requirements,python-openstackclient
670345,669609,releases,python-openstackclient
669902,669997,puppet-tripleo,tripleo-heat-templates
669902,669994,puppet-tripleo,tripleo-heat-templates
669902,669990,puppet-tripleo,tripleo-heat-templates
669902,668957,puppet-tripleo,tripleo-heat-templates
669901,669997,puppet-tripleo,tripleo-heat-templates
669901,669994,puppet-tripleo,tripleo-heat-templates
669901,669990,puppet-tripleo,tripleo-heat-templates
669901,668957,puppet-tripleo,tripleo-heat-templates
669900,669997,puppet-tripleo,tripleo-heat-templates
669900,669994,puppet-tripleo,tripleo-heat-templates
669900,669990,puppet-tripleo,tripleo-heat-templates
669900,668957,puppet-tripleo,tripleo-heat-templates
669871,669343,openstack-zuul-jobs,tripleo-ci
669366,669343,tripleo-repos,tripleo-ci
669298,669299,project-config,governance
668956,669997,puppet-tripleo,tripleo-heat-templates
668956,669994,puppet-tripleo,tripleo-heat-templates
668956,669990,puppet-tripleo,tripleo-heat-templates
668956,668957,puppet-tripleo,tripleo-heat-templates
667949,665264,project-config,governance
667423,667423,tripleo-ci,tripleo-ci
666610,665715,neutron,os-vif
666568,666569,project-config,governance
666196,665917,magnum,magnum
665652,656265,charm-swift-storage,charm-swift-storage
665451,665445,tripleo-common,tripleo-common
665449,665445,tripleo-common,tripleo-common
665321,665414,project-config,governance
664639,650169,tripleo-quickstart-extras,tripleo-quickstart
663771,663736,tripleo-heat-templates,tripleo-common
663599,651772,openstack-zuul-jobs,tripleo-ci
663599,663336,openstack-zuul-jobs,tripleo-common
661914,661803,openstackclient,project-config
661541,661542,networking-l2gw,project-config
660947,635863,tripleo-heat-templates,tripleo-common
660947,668685,tripleo-heat-templates,python-tripleoclient
660947,663631,tripleo-heat-templates,python-tripleoclient
660947,636282,tripleo-heat-templates,python-tripleoclient
660943,635863,tripleo-heat-templates,tripleo-common
660943,668685,tripleo-heat-templates,python-tripleoclient
660943,663631,tripleo-heat-templates,python-tripleoclient
660943,636282,tripleo-heat-templates,python-tripleoclient
660942,635863,tripleo-heat-templates,tripleo-common
660942,668685,tripleo-heat-templates,python-tripleoclient
660942,663631,tripleo-heat-templates,python-tripleoclient
660942,636282,tripleo-heat-templates,python-tripleoclient
659735,659728,openstack-zuul-jobs,project-config
659524,659523,neutron-lib,neutron
659392,658382,puppet-tripleo,puppet-keystone
659386,658382,tripleo-heat-templates,puppet-keystone
658493,658494,project-config,neutron-lbaas
658493,658495,project-config,neutron-lbaas-dashboard
657764,657766,project-config,governance
657547,657552,tripleo-common,python-tripleoclient
656680,656686,project-config,governance
656671,656670,project-config,barbican
656657,656658,project-config,governance
655413,654056,bifrost,openstacksdk
655412,654056,bifrost,openstacksdk
655411,654056,bifrost,openstacksdk
654233,654056,bifrost,openstacksdk
653740,649892,openstack-ansible-os_tempest,openstack-ansible
653690,649892,openstack-ansible-os_tempest,openstack-ansible
653224,652862,python-searchlightclient,releases
652320,652321,openstack-ansible-lxc_container_create,openstack-ansible-tests
652320,650533,openstack-ansible-lxc_container_create,openstack-ansible-tests
652319,652321,openstack-ansible-lxc_hosts,openstack-ansible-tests
652319,650533,openstack-ansible-lxc_hosts,openstack-ansible-tests
652318,652339,openstack-ansible-os_keystone,openstack-ansible
652318,650485,openstack-ansible-os_keystone,openstack-ansible
652317,652339,openstack-ansible-os_cinder,openstack-ansible
652317,650485,openstack-ansible-os_cinder,openstack-ansible
652316,652339,openstack-ansible-os_nova,openstack-ansible
652316,650485,openstack-ansible-os_nova,openstack-ansible
652315,652339,openstack-ansible-os_tempest,openstack-ansible
652315,650485,openstack-ansible-os_tempest,openstack-ansible
652314,652339,openstack-ansible-os_neutron,openstack-ansible
652314,650485,openstack-ansible-os_neutron,openstack-ansible
652313,652339,openstack-ansible-os_glance,openstack-ansible
652313,650485,openstack-ansible-os_glance,openstack-ansible
652312,652339,openstack-ansible-rabbitmq_server,openstack-ansible
652312,650485,openstack-ansible-rabbitmq_server,openstack-ansible
652311,652339,openstack-ansible-galera_server,openstack-ansible
652311,650485,openstack-ansible-galera_server,openstack-ansible
652310,652339,openstack-ansible-openstack_hosts,openstack-ansible
652310,650485,openstack-ansible-openstack_hosts,openstack-ansible
652309,652339,openstack-ansible-galera_client,openstack-ansible
652309,650485,openstack-ansible-galera_client,openstack-ansible
651524,651505,tripleo-heat-templates,puppet-tripleo
650936,650937,charms.openstack,charm-layer-openstack
650934,652321,ansible-hardening,openstack-ansible-tests
650934,650533,ansible-hardening,openstack-ansible-tests
650934,652321,ansible-hardening,openstack-ansible-tests
650934,650533,ansible-hardening,openstack-ansible-tests
650910,652321,ansible-hardening,openstack-ansible-tests
650910,650533,ansible-hardening,openstack-ansible-tests
650631,639379,charms.ceph,charm-ceph-osd
650553,652321,openstack-ansible-lxc_container_create,openstack-ansible-tests
650553,650533,openstack-ansible-lxc_container_create,openstack-ansible-tests
650552,652321,openstack-ansible-lxc_hosts,openstack-ansible-tests
650552,650533,openstack-ansible-lxc_hosts,openstack-ansible-tests
650535,652321,ansible-hardening,openstack-ansible-tests
650535,650533,ansible-hardening,openstack-ansible-tests
650534,652321,ansible-hardening,openstack-ansible-tests
650534,650533,ansible-hardening,openstack-ansible-tests
650499,652339,openstack-ansible-os_tempest,openstack-ansible
650499,650485,openstack-ansible-os_tempest,openstack-ansible
650497,652339,openstack-ansible-os_neutron,openstack-ansible
650497,650485,openstack-ansible-os_neutron,openstack-ansible
650496,652339,openstack-ansible-os_nova,openstack-ansible
650496,650485,openstack-ansible-os_nova,openstack-ansible
650495,652339,openstack-ansible-os_cinder,openstack-ansible
650495,650485,openstack-ansible-os_cinder,openstack-ansible
650493,652339,openstack-ansible-os_glance,openstack-ansible
650493,650485,openstack-ansible-os_glance,openstack-ansible
650492,652339,openstack-ansible-os_keystone,openstack-ansible
650492,650485,openstack-ansible-os_keystone,openstack-ansible
650491,652339,openstack-ansible-rabbitmq_server,openstack-ansible
650491,650485,openstack-ansible-rabbitmq_server,openstack-ansible
650490,652339,openstack-ansible-galera_server,openstack-ansible
650490,650485,openstack-ansible-galera_server,openstack-ansible
650488,652339,openstack-ansible-galera_client,openstack-ansible
650488,650485,openstack-ansible-galera_client,openstack-ansible
650487,652339,openstack-ansible-openstack_hosts,openstack-ansible
650487,650485,openstack-ansible-openstack_hosts,openstack-ansible
650422,653643,project-config,governance
650422,653643,project-config,governance
650422,653643,project-config,governance
650422,653643,project-config,governance
650422,653643,project-config,governance
650422,653643,project-config,governance
650422,653643,project-config,governance
650413,650422,requirements,project-config
650413,650477,requirements,project-config
649790,623229,tap-as-a-service,openstack-zuul-jobs
649597,649598,project-config,governance
649373,695834,neutron-tempest-plugin,neutron-vpnaas
647667,647665,project-config,governance
645105,645033,placement,nova
645031,645033,placement,nova
644847,641712,neutron-tempest-plugin,neutron
643724,643717,rally,rally
643717,642235,rally,rally-openstack
643662,643668,neutron-tempest-plugin,neutron-fwaas
640461,561597,ironic,devstack
640300,640301,openstack-ansible,openstack-ansible-rabbitmq_server
639831,639836,project-config,governance
639101,639098,ironic,ironic-tempest-plugin
639066,639068,project-config,governance
638708,624993,shade,requirements
638666,642527,neutron-lib,neutron
638406,638407,charm-swift-storage,charm-swift-proxy
637935,624751,neutron-lib,neutron
637613,637614,project-config,governance
636901,636909,puppet-tripleo,tripleo-heat-templates
636901,636875,puppet-tripleo,tripleo-heat-templates
636901,633217,puppet-tripleo,tripleo-heat-templates
636899,636907,puppet-tripleo,tripleo-heat-templates
636899,636873,puppet-tripleo,tripleo-heat-templates
636899,623353,puppet-tripleo,tripleo-heat-templates
636902,636910,puppet-tripleo,tripleo-heat-templates
636902,636876,puppet-tripleo,tripleo-heat-templates
636902,633239,puppet-tripleo,tripleo-heat-templates
636903,636911,puppet-tripleo,tripleo-heat-templates
636903,636877,puppet-tripleo,tripleo-heat-templates
636903,633246,puppet-tripleo,tripleo-heat-templates
636904,636912,puppet-tripleo,tripleo-heat-templates
636904,636878,puppet-tripleo,tripleo-heat-templates
636904,634444,puppet-tripleo,tripleo-heat-templates
636900,636908,puppet-tripleo,tripleo-heat-templates
636900,636874,puppet-tripleo,tripleo-heat-templates
636900,633170,puppet-tripleo,tripleo-heat-templates
636884,636911,puppet-tripleo,tripleo-heat-templates
636884,636877,puppet-tripleo,tripleo-heat-templates
636884,633246,puppet-tripleo,tripleo-heat-templates
636882,636909,puppet-tripleo,tripleo-heat-templates
636882,636875,puppet-tripleo,tripleo-heat-templates
636882,633217,puppet-tripleo,tripleo-heat-templates
636880,636907,puppet-tripleo,tripleo-heat-templates
636880,636873,puppet-tripleo,tripleo-heat-templates
636880,623353,puppet-tripleo,tripleo-heat-templates
636881,636908,puppet-tripleo,tripleo-heat-templates
636881,636874,puppet-tripleo,tripleo-heat-templates
636881,633170,puppet-tripleo,tripleo-heat-templates
636883,636910,puppet-tripleo,tripleo-heat-templates
636883,636876,puppet-tripleo,tripleo-heat-templates
636883,633239,puppet-tripleo,tripleo-heat-templates
636885,636912,puppet-tripleo,tripleo-heat-templates
636885,636878,puppet-tripleo,tripleo-heat-templates
636885,634444,puppet-tripleo,tripleo-heat-templates
636861,635539,puppet-tripleo,releases
636131,636128,xstatic-angular-lrdragndrop,releases
636130,636129,xstatic-jasmine,releases
635885,635831,manila-tempest-plugin,manila
635730,635863,tripleo-heat-templates,tripleo-common
